molecule_chembl_id,canonical_smiles,standard_value,activity_class,MW,LogP,NumHDonors,NumHAcceptors,TPSA,pIC50,ADV_affinity
CHEMBL311368,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2c(C(=O)NO)cccc2[N+](=O)[O-])cc1,13.0,active,457.46400000000017,3.117900000000001,2.0,7.0,139.08,7.886056647693163,-6.5
CHEMBL539787,COc1ccc(S(=O)(=O)N2CCCNCC2C(=O)NO)cc1.Cl,60.0,active,365.839,-0.0249999999999993,3.0,6.0,107.97,7.221848749616356,0.0
CHEMBL327621,COc1ccc(S(=O)(=O)N2CCCN(C(=O)c3ccccc3)CC2C(=O)NO)cc1,2.0,active,433.4860000000001,1.106,2.0,6.0,116.25,8.698970004336019,-8.4
CHEMBL76606,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2c(C)cccc2C(=O)NO)cc1,23.0,active,426.49400000000014,3.518120000000001,2.0,5.0,95.94,7.638272163982407,-6.7
CHEMBL329558,COc1ccc(S(=O)(=O)N2CCCN(C(=O)c3ccc(OC(F)(F)F)cc3)CC2C(=O)NO)cc1,4.0,active,517.4820000000001,2.0046,2.0,7.0,125.48000000000005,8.397940008672037,-8.1
CHEMBL308084,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2c(C(=O)NO)cccc2C(F)(F)F)cc1,27.0,active,480.4640000000001,4.228500000000003,2.0,5.0,95.94,7.568636235841013,-6.9
CHEMBL307182,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2c(Cl)cccc2C(=O)NO)cc1,31.0,active,446.9120000000001,3.863100000000002,2.0,5.0,95.94,7.508638306165727,-7.0
CHEMBL311768,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2cc(C)ccc2C(=O)NO)cc1,346.0,active,426.49400000000014,3.518120000000001,2.0,5.0,95.94,6.460923901207224,-8.8
CHEMBL77237,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2cccc(C)c2C(=O)NO)cc1,440.0,active,426.49400000000014,3.518120000000001,2.0,5.0,95.94,6.356547323513812,-7.7
CHEMBL538028,COc1ccc(S(=O)(=O)N2CCCN(C(=O)CN)CC2C(=O)NO)cc1.Cl,157.0,active,422.891,-0.8272999999999973,3.0,7.0,142.27,6.804100347590766,0.0
CHEMBL70176,COc1ccc(S(=O)(=O)N(Cc2cccnc2)c2c(C)cccc2C(=O)NO)cc1,5.0,active,427.48200000000014,2.91312,2.0,6.0,108.83,8.301029995663981,-6.4
CHEMBL88559,COc1ccc(S(=O)(=O)N2CCCN(C(=O)CNC(=O)OC(C)(C)C)CC2C(=O)NO)cc1,23.0,active,486.5470000000002,0.3169000000000027,3.0,8.0,154.58,7.638272163982407,-8.6
CHEMBL328255,COc1ccc(S(=O)(=O)N2CCCN(C(=O)C(C)(C)C)CC2C(=O)NO)cc1,4.8,active,413.4960000000001,0.8383000000000013,2.0,6.0,116.25,8.318758762624412,-6.9
CHEMBL419868,COc1ccc(S(=O)(=O)N2CCCN(Cc3ccccc3)CC2C(=O)NO)cc1,31.0,active,419.503,1.4658,2.0,6.0,99.18000000000002,7.508638306165727,-8.4
CHEMBL327442,COc1ccc(S(=O)(=O)N2CCCN(C(=O)c3ccccc3-c3ccccc3)CC2C(=O)NO)cc1,3.3,active,509.5840000000001,2.773000000000001,2.0,6.0,116.25,8.481486060122112,-7.9
CHEMBL313168,COc1ccc(S(=O)(=O)N2CCCN(C(=O)Nc3ccccc3)CC2C(=O)NO)cc1,18.0,active,448.5010000000001,1.4976999999999998,3.0,6.0,128.28,7.744727494896693,-8.6
CHEMBL80300,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2c(OC(C)(C)C(=O)NO)cccc2C(=O)NO)cc1,4.0,active,529.5710000000003,2.8725000000000005,4.0,8.0,154.5,8.397940008672037,-6.5
CHEMBL310655,COc1ccc(S(=O)(=O)N2CCCN(C(=O)OC(C)(C)C)CC2C(=O)NO)cc1,9.1,active,429.4950000000002,1.2007000000000003,2.0,7.0,125.48000000000005,8.040958607678906,-7.7
